id_municipio,cep,quantidade_vinculos_ativos,ano
2211001,64023320,14,2023
2211001,64069992,30,2023
2211001,64053400,16,2023
2211001,64051110,32,2023
2211001,64000030,24,2023
2211001,64002540,39,2023
2211001,64019368,11,2023
2211001,64003675,79,2023
2211001,64000160,446,2023
2211001,64053820,52,2023
2211001,64001130,217,2023
2211001,64017775,187,2023
2211001,64018500,60,2023
2211001,64015120,19,2023
2211001,64099899,19,2023
2211001,64003685,96,2023
2211001,64056325,40,2023
2211001,64023320,18,2023
2211001,64078600,44,2023
2211001,64048180,37,2023
2211001,64001310,71,2023
2211001,64001490,431,2023
2211001,64001360,21,2023
2211001,64001370,13,2023
2211001,64035450,15,2023
2211001,64012760,64,2023
2211001,64078225,139,2023
2211001,64040040,31,2023
2211001,64016410,22,2023
2211001,64002450,11,2023
2211001,64049110,146,2023
2211001,64027468,120,2023
2211001,64001970,13,2023
2211001,64052971,16,2023
2211001,64048400,136,2023
2211001,64097990,995,2023
2211001,64000300,21,2023
2211001,64018285,28,2023
2211001,64079112,18,2023
2211001,64001610,23,2023
2211001,64053300,20,2023
2211001,64025050,53,2023
2211001,64050140,16,2023
2211001,64032480,11,2023
2211001,64049550,31,2023
2211001,64060520,206,2023
2211001,64069430,12,2023
2211001,64049550,62,2023
2211001,64020190,21,2023
2211001,64082055,14,2023
2211001,64073360,21,2023
2211001,64057105,82,2023
2211001,64095020,52,2023
2211001,64066010,151,2023
2211001,64055020,22,2023
2211001,64062200,78,2023
2211001,64045440,29,2023
2211001,64056220,12,2023
2211001,64000903,18,2023
2211001,64049548,176,2023
2211001,64018550,22,2023
2211001,64019352,12,2023
2211001,64038030,19,2023
2211001,64019740,37,2023
2211001,64062100,11,2023
2211001,64057420,11,2023
2211001,64018500,25,2023
2211001,64049526,20,2023
2211001,64000150,14,2023
2211001,64018560,16,2023
2211001,64015125,14,2023
2211001,64045100,12,2023
2211001,64019750,35,2023
2211001,64017770,19,2023
2211001,64049486,18,2023
2211001,64049010,11,2023
2211001,64022126,11,2023
2211001,64076178,171,2023
2211001,64016010,29,2023
2211001,64000180,32,2023
2211001,64002180,11,2023
2211001,64016010,16,2023
2211001,64049546,20,2023
2211001,64031510,15,2023
2211001,64046010,22,2023
2211001,64046902,51,2023
2211001,64048110,11,2023
2211001,64000810,39,2023
2211001,64048110,28,2023
2211001,64076038,11,2023
2211001,64046902,14,2023
2211001,64078625,20,2023
2211001,64000080,17,2023
2211001,64052800,13,2023
2211001,64001685,14,2023
2211001,64015100,12,2023
2211001,64052005,13,2023
2211001,64006245,15,2023
2211001,64000180,14,2023
2211001,64073020,15,2023
2211001,64046010,18,2023
2211001,64078625,14,2023
2211001,64048900,20,2023
2211001,64002475,18,2023
2211001,64003120,33,2023
2211001,64018505,20,2023
2211001,64000090,16,2023
2211001,64052535,21,2023
2211001,64027195,12,2023
2211001,64048558,13,2023
2211001,64049526,16,2023
2211001,64049300,13,2023
2211001,64052830,46,2023
2211001,64040025,11,2023
2211001,64091500,156,2023
2211001,64099899,24,2023
2211001,64063200,11,2023
2211001,64000240,17,2023
2211001,64003087,15,2023
2211001,64046902,19,2023
2211001,64000120,16,2023
2211001,64020720,26,2023
2211001,64001973,45,2023
2211001,64000080,14,2023
2211001,64046902,11,2023
2211001,64000150,12,2023
2211001,64049250,46,2023
2211001,64001971,19,2023
2211001,64000110,12,2023
2211001,64049375,15,2023
2211001,64046902,13,2023
2211001,64046010,13,2023
2211001,64049526,18,2023
2211001,64004823,19,2023
2211001,64016850,21,2023
2211001,64049460,12,2023
2211001,64048900,13,2023
2211001,64055365,18,2023
2211001,64049532,15,2023
2211001,64052850,18,2023
2211001,64056270,11,2023
2211001,64049110,19,2023
2211001,64023005,13,2023
2211001,64002470,13,2023
2211001,64023274,17,2023
2211001,64022135,22,2023
2211001,64049220,12,2023
2211001,64016096,33,2023
2211001,64052800,25,2023
2211001,64052810,38,2023
2211001,64048180,33,2023
2211001,64002478,12,2023
2211001,64048180,11,2023
2211001,64049453,16,2023
2211001,64003901,14,2023
2211001,64016410,25,2023
2211001,64049010,13,2023
2211001,64023380,21,2023
2211001,64020720,19,2023
2211001,64035180,60,2023
2211001,64006005,23,2023
2211001,64038060,83,2023
2211001,64052320,14,2023
2211001,64035110,18,2023
2211001,64053010,12,2023
2211001,64049494,148,2023
2211001,64002410,15,2023
2211001,64001020,51,2023
2211001,64049524,18,2023
2211001,64083600,21,2023
2211001,64077215,27,2023
2211001,64048110,68,2023
2211001,64000160,11,2023
2211001,64049522,122,2023
2211001,64019020,15,2023
2211001,64049494,15,2023
2211001,64050010,13,2023
2211001,64048065,11,2023
2211001,64000360,21,2023
2211001,64000240,23,2023
2211001,64049494,17,2023
2211001,64052850,40,2023
2211001,64049755,86,2023
2211001,64050010,26,2023
2211001,64049250,26,2023
2211001,64019368,209,2023
2211001,64019480,209,2023
2211001,64084015,11,2023
2211001,64018901,71,2023
2211001,64075505,21,2023
2211001,64056365,77,2023
2211001,64048180,11,2023
